loss,age_output_loss,gender_output_loss,age_output_mae,gender_output_accuracy,val_loss,val_age_output_loss,val_gender_output_loss,val_age_output_mae,val_gender_output_accuracy,lr
19.58209991455078,7.550543785095215,0.7057375907897949,4.645167827606201,0.5009554028511047,23.16423225402832,8.988574028015137,0.6927990913391113,5.275339603424072,0.5337579846382141,1e-05
18.040910720825195,6.9336981773376465,0.7066649794578552,4.367500305175781,0.49840763211250305,23.000564575195312,8.923246383666992,0.6924458742141724,5.237406253814697,0.5490446090698242,1e-05
17.831504821777344,6.85039758682251,0.7055078744888306,4.327356815338135,0.506369411945343,22.62600326538086,8.77377700805664,0.691561758518219,5.145256042480469,0.5324840545654297,1e-05
17.52968406677246,6.7290239334106445,0.7071146965026855,4.268458843231201,0.5050955414772034,22.421443939208984,8.692215919494629,0.6909036636352539,5.102772235870361,0.5414012670516968,1e-05
17.24384307861328,6.615207195281982,0.7058225870132446,4.210679531097412,0.5038216710090637,22.142004013061523,8.580724716186523,0.690190851688385,5.046875,0.5668789744377136,1e-05
16.863082885742188,6.4654693603515625,0.6994113326072693,4.138728618621826,0.5073248147964478,22.026870727539062,8.535289764404297,0.6886503100395203,5.036991119384766,0.5579617619514465,1e-05
16.482372283935547,6.311380863189697,0.703926146030426,4.05318021774292,0.506369411945343,21.647809982299805,8.384261131286621,0.6871601343154907,4.967863082885742,0.5707006454467773,1e-05
16.05979347229004,6.143501281738281,0.7010372877120972,3.9618663787841797,0.5305732488632202,20.927343368530273,8.096796989440918,0.6853530406951904,4.822944641113281,0.5757961869239807,1e-05
15.593240737915039,5.956015110015869,0.7032073140144348,3.8771326541900635,0.5200636982917786,20.9731388092041,8.115852355957031,0.6835076808929443,4.855899333953857,0.5821655988693237,1e-05
15.020195960998535,5.728354454040527,0.699306070804596,3.7411949634552,0.5302547812461853,20.140222549438477,7.783507823944092,0.6814534068107605,4.690610885620117,0.5808917284011841,1e-05
14.62544059753418,5.5663228034973145,0.7096325159072876,3.666311740875244,0.5162420272827148,19.756006240844727,7.630677223205566,0.6793131828308105,4.622225761413574,0.5821655988693237,1e-05
14.235307693481445,5.409866809844971,0.7106412053108215,3.5802366733551025,0.5280254483222961,19.76306915283203,7.633974552154541,0.6781317591667175,4.638552665710449,0.5821655988693237,1e-05
